Most common 199 adjectives,,,
collection,id,spanish,english
6,1,nuevo,new
6,2,grande,big
6,3,bueno,good
6,4,último,last
6,5,mayor,greater
6,6,nacional,national
6,7,social,social
6,8,mejor,better
6,9,propio,own
6,10,importante,important
6,11,público,public
6,12,alto,high
6,13,político,political
6,14,pequeño,small
6,15,único,unique
6,16,largo,long
6,17,humano,human
6,18,económico,economic
6,19,posible,possible
6,20,general,general
6,21,internacional,international
6,22,diferente,different
6,23,solo,only
6,24,español,Spanish
6,25,principal,main
6,26,necesario,required
6,27,próximo,next
6,28,distinto,different
6,29,claro,light
6,30,siguiente,following
6,31,malo,bad
6,32,anterior,previous
6,33,especial,special
6,34,natural,natural
6,35,cultural,cultural
6,36,bajo,low
6,37,actual,current
6,38,blanco,white
6,39,fuerte,strong
6,40,difícil,difficult
6,41,mundial,world-wide
6,42,menor,lesser
6,43,viejo,old
6,44,real,real
6,45,local,local
6,46,negro,black
6,47,europeo,European
6,48,diverso,various
6,49,libre,free
6,50,seguro,safe
6,51,común,common
6,52,privado,private
6,53,central,central
6,54,popular,popular
6,55,dicho,such
6,56,físico,physical
6,57,superior,top
6,58,joven,young
6,59,personal,personal
6,60,capaz,capable
6,61,antiguo,old
6,62,histórico,historical
6,63,cierto,certain
6,64,técnico,technical
6,65,presente,present
6,66,oficial,official
6,67,mexicano,Mexican
6,68,fácil,easy
6,69,militar,military
6,70,contrario,contrary
6,71,civil,civil
6,72,verdadero,true
6,73,lleno,full
6,74,suficiente,enough
6,75,rápido,fast
6,76,científico,scientific
6,77,directo,direct
6,78,completo,complete
6,79,interno,internal
6,80,fundamental,fundamental
6,81,comercial,commercial
6,82,familiar,familiar
6,83,amplio,extensive
6,84,educativo,educational
6,85,vivo,"live, alive"
6,86,similar,similar
6,87,rojo,red
6,88,financiero,financial
6,89,medio,medium
6,90,enorme,huge
6,91,total,total
6,92,profesional,professional
6,93,adecuado,suitable
6,94,médico,doctor
6,95,grave,serious
6,96,tradicional,traditional
6,97,electoral,electoral
6,98,básico,basic
6,99,igual,same
6,100,duro,hard
6,101,profundo,deep
6,102,final,last
6,103,municipal,municipal
6,104,inmediato,immediate
6,105,junto,together
6,106,argentino,Argentinean
6,107,peor,worse
6,108,francés,French
6,109,corto,short
6,110,oscuro,dark
6,111,estadounidense,American
6,112,cercano,near
6,113,regional,regional
6,114,feliz,happy
6,115,positivo,positive
6,116,máximo,maximum
6,117,serio,serious
6,118,laboral,labor
6,119,imposible,impossible
6,120,simple,simple
6,121,pobre,poor
